moderator,market,productivity,utilisation,handling_time,accuracy,ad_capacity,final_score
3371590,"[""US"", ""CA""]",502.2,0.7163125,80375,0.25,359.7321375,1.0
9020538,"[""PL"", ""PT"", ""GB"", ""IL""]",125.29,0.0,30487,0.25,0.0,0.43788801094427776
9060023,"[""GB"", ""IT"", ""IE""]",10.29,1.133572917,340,0.3,11.664465315929998,1.0000000000000002
5082099,"[""US"", ""CA""]",189.4125,0.530098958,538082,0.316,100.40736888217499,0.7095363887524125
2258595,"[""SA"", ""OM"", ""BH"", ""QA"", ""AE"", ""DZ"", ""JO"", ""IQ"", ""KW"", ""TN"", ""MA"", ""LB"", ""EG""]",0.0,0.0,0,0.333,0.0,0.5908840330395342
8587001,"[""US"", ""CA""]",197.5175,0.395640625,76544,0.34,78.14594714843751,0.7166548333016566
9759789,"[""GB"", ""IE"", ""LV""]",173.145,0.208322917,13220,0.353,36.070071463965,0.6812119372012877
1762949587637281,"[""BR""]",456.592,0.825955556,86789,0.362,377.124699225152,0.9999999999999999
3725295,"[""US"", ""CA""]",359.6,0.608263889,52346,0.367,218.73169448439998,0.8071469414805184
9939125,"[""US"", ""CA""]",317.6571429,0.384767857,37685,0.38,122.22425813437576,0.7030831899587129
1769302206223394,"[""NL""]",201.4075,0.649,89455,0.385,130.7134675,0.7482363691497542
5698189,"[""US"", ""CA""]",272.8,0.411930556,50087,0.387,112.3746556768,0.6985483130291419
1749551102734338,"[""SA"", ""OM"", ""BH"", ""QA"", ""JO"", ""IQ"", ""KW"", ""MA"", ""LB"", ""EG""]",394.5413953,0.751937984,114562,0.404,296.67066138642906,0.9570814650713706
2379151,"[""US"", ""CA""]",0.0,0.0,0,0.415,0.0,0.6010379310777958
3318327,"[""ID""]",124.652,0.536583333,102899,0.423,66.88618562511601,0.6902039737090248
1251392,"[""US""]",615.8675,0.734984375,95137,0.438,452.65298957031246,1.0
9953239,"[""CZ"", ""GB"", ""IE""]",60.34666667,0.770208333,12218,0.449,46.47950553800736,0.7745452502945809
2873783,"[""US"", ""CA""]",204.2366667,0.529402778,89440,0.455,108.1234587204401,0.6791121622809259
3502216,"[""US"", ""CA""]",519.9247059,0.68854902,113792,0.455,357.99364672123323,0.9246520168388324
7329305,"[""AT"", ""GB"", ""CH"", ""DE"", ""IE""]",68.015,0.289703125,40612,0.484,19.704158046875,0.5969128016133309
1769313472273426,"[""BR""]",0.0,0.0,0,0.486,0.0,0.5832767251763166
7763271,"[""US"", ""CA""]",161.34,0.724864583,42496,0.5,116.94965182122,0.8284450527411477
6858011,"[""CZ"", ""GB"", ""IE""]",0.0,0.0,0,0.5,0.0,0.6000789353665809
3561577,"[""UA"", ""RU"", ""GB"", ""IE""]",0.0,0.0,0,0.5,0.0,0.6000789353665809
6637200,"[""GB"", ""IE""]",774.3025,0.785416667,60722,0.5,608.1500887997676,1.0
7363167,"[""SA"", ""BH"", ""OM"", ""QA"", ""AE"", ""JO"", ""IQ"", ""KW"", ""MA"", ""EG""]",254.82,0.540041667,2578531,0.5,137.61341758494,0.5966229969712713
1998571,"[""ID""]",43.62,0.870140625,7485,0.5,37.9555340625,0.7335474829049782
5393536,"[""PL""]",245.21,0.252979167,32503,0.5,62.03302154007,0.5318790121079071
5060767,"[""AT"", ""CH"", ""DE""]",0.0,0.0,0,0.52,0.0,0.5009072982417442
1763374037177377,"[""BR""]",462.5548387,0.770849462,87263,0.527,356.5601485573918,0.8711215528371282
7986097,"[""US"", ""CA""]",439.66,0.478808333,331585,0.529,210.51287168678,0.6869202944190059
8716810,"[""LT"", ""GB"", ""IE""]",817.71,0.852604167,89302,0.529,697.18295339757,1.0
1762949452155954,"[""BR""]",435.4436364,0.731310606,57626,0.532,318.44454961452766,0.7635754693817968
3092815,"[""GB"", ""DE"", ""IE""]",376.89,0.566635417,77102,0.534,213.55922231313,0.640728807078728
5683738,"[""BE"", ""NL""]",0.0,0.0,0,0.536,0.0,0.468604279883102
3595328,"[""US"", ""CA""]",0.0,0.0,0,0.54,0.0,0.4721013267479013
9360718,"[""NL"", ""GB"", ""IE""]",245.7333333,0.7175625,71999,0.542,176.32902497608126,0.6918913963258082
1754889724278785,"[""BR""]",293.7393548,0.772774194,85587,0.545,226.99419315165005,0.7416180097245897
7657980,"[""US"", ""CA""]",0.0,0.0,0,0.55,0.0,0.48084394390989943
3215286,"[""ZA"", ""AT"", ""CH"", ""DE""]",22.32,0.862291667,4419,0.551,19.24635000744,0.6851823953696511
1769313472273442,"[""BR""]",376.0175,0.867807292,100686,0.553,326.31072841961,0.8352693737362858
3831078,"[""VN""]",57.892,0.311370833,322782,0.556,18.025880264036,0.49611855376733266
7167613,"[""UA"", ""RU"", ""GB"", ""IE""]",0.54,0.0,99,0.556,0.0,0.4860803909418396
5536819,"[""US"", ""CA""]",309.105,0.755052083,88288,0.56,233.39037411571502,0.745316949425574
5503681,"[""US"", ""CA""]",0.0,0.0,0,0.562,0.0,0.49133508450429725
9032738,"[""US"", ""CA""]",353.895,0.707760417,89964,0.562,250.472872774215,0.7344621852978275
3791302,"[""US"", ""CA""]",350.58,0.318854167,51492,0.564,111.78389386686,0.5758624309563773
